Codigo,DescripcionES,DescripcionEN,DescripcionFR,DescripcionDE,DescripcionPT
03,"PRODUCTOS AGROPECUARIOS, PESCA Y SILVICULTURA","AGRICULTURAL, FARMING, FISHING AND FORESTRY PRODUCTS","PRODUITS AGRICOLES, DE L'ÉLEVAGE, DE LA PÊCHE ET DE LA FORÊT","AGRAR-, LANDWIRTSCHAFTS-, FISCHEREI- UND FORSTPRODUKTE","PRODUTOS AGRÍCOLAS, PECUÁRIOS, PESQUEIROS E FLORESTAIS"
09,"COMBUSTIBLES, ELECTRICIDAD Y FUENTES DE ENERGÍA","PETROLEUM PRODUCTS, FUELS, ELECTRICITY AND ENERGY","PRODUITS PÉTROLIERS, COMBUSTIBLES, ÉLECTRICITÉ ET ÉNERGIE","ERDÖLPRODUKTE, KRAFTSTOFFE, ELEKTRIZITÄT UND ENERGIE","PRODUTOS PETROLÍFEROS, COMBUSTÍVEIS, ELETRICIDADE E ENERGIA"
14,MINERÍA Y METALES BÁSICOS,MINING AND BASIC METALS,PRODUITS MINIERS ET MÉTAUX DE BASE,BERGBAU UND GRUNDMETALLE,MINERAÇÃO E METAIS BÁSICOS
15,"ALIMENTOS, BEBIDAS Y TABACO","FOOD, BEVERAGES AND TOBACCO","PRODUITS ALIMENTAIRES, BOISSONS ET TABAC","LEBENSMITTEL, GETRÄNKE UND TABAK","ALIMENTOS, BEBIDAS E TABACO"
16,MAQUINARIA AGRÍCOLA,AGRICULTURAL MACHINERY,MACHINES AGRICOLES,LANDMASCHINEN,MAQUINARIA AGRÍCOLA
18,"ROPA, CALZADO Y ACCESORIOS","CLOTHING, FOOTWEAR AND ACCESSORIES","VÊTEMENTS, CHAUSSURES ET ACCESSOIRES","KLEIDUNG, SCHUHE UND ACCESSOIRES","VESTUÁRIO, CALÇADO E ACESSÓRIOS"
19,"CUERO, TEXTILES, PLÁSTICO Y CAUCHO","LEATHER, TEXTILES, PLASTIC AND RUBBER","CUIR, TEXTILES, PLASTIQUE ET CAOUTCHOUC","LEDER, TEXTILIEN, KUNSTSTOFF UND GUMMI","COURO, TÊXTEIS, PLÁSTICO E BORRACHA"
22,IMPRESOS Y PRODUCTOS EDITORIALES,PRINTED MATTER AND PUBLISHING PRODUCTS,IMPRIMÉS ET PRODUITS CONNEXES,DRUCKERZEUGNISSE UND VERLAGSPRODUKTE,IMPRESSOS E PRODUTOS EDITORIAIS
24,PRODUCTOS QUÍMICOS,CHEMICAL PRODUCTS,PRODUITS CHIMIQUES,CHEMISCHE PRODUKTE,PRODUTOS QUÍMICOS
25,"PRODUCTOS DE CAUCHO, PLÁSTICO Y CERA","RUBBER, PLASTIC AND WAX PRODUCTS","PRODUITS EN CAOUTCHOUC, PLASTIQUE ET CIRE","GUMMI-, KUNSTSTOFF- UND WACHSPRODUKTE","PRODUTOS DE BORRACHA, PLÁSTICO E CERA"
26,"VIDRIO, CERÁMICA Y PRODUCTOS INORGÁNICOS","GLASS, CERAMIC AND INORGANIC PRODUCTS","VERRE, CÉRAMIQUE ET PRODUITS INORGANIQUES","GLAS, KERAMIK UND ANORGANISCHE PRODUKTE","VIDRO, CERÂMICA E PRODUTOS INORGÂNICOS"
27,METALES BÁSICOS Y ALEACIONES,BASE METALS AND ALLOYS,MÉTAUX DE BASE ET ALLIAGES,GRUNDMETALLE UND LEGIERUNGEN,METAIS BÁSICOS E LIGAS
28,PRODUCTOS METÁLICOS ELABORADOS,FABRICATED METAL PRODUCTS,PRODUITS MÉTALLIQUES TRANSFORMÉS,BEARBEITETE METALLPRODUKTE,PRODUTOS METÁLICOS FABRICADOS
30,EQUIPOS INFORMÁTICOS Y DE OFICINA,COMPUTING AND OFFICE EQUIPMENT,ÉQUIPEMENTS INFORMATIQUES ET DE BUREAU,COMPUTER- UND BÜROAUSSTATTUNG,EQUIPAMENTOS DE INFORMÁTICA E ESCRITÓRIO
31,MAQUINARIA Y EQUIPOS ELÉCTRICOS,ELECTRICAL MACHINERY AND EQUIPMENT,MACHINES ET ÉQUIPEMENTS ÉLECTRIQUES,ELEKTRISCHE MASCHINEN UND GERÄTE,MÁQUINAS E EQUIPAMENTOS ELÉTRICOS
